Topic Id,Top Words...
0,2 00 1 3 2nd 50 1st 3rd mrs 75 4 100 armstrong 60 25 elliott year 6 hodgins 12
1,murray haldane hood 1891 election money honoria witness millington redwood 91 aunt sarsaparilla didn clifford rachel pacaud mcneill jacobs simpson
2,hie end ae le la ef te wee eo bat wae yon ee tbs warn el mm tbe _ oan
3,1888 nervous toronto philip helena tailoring compound celery eunice paine portland yonge wellington bowels bros glasgow stomach haley brain debility
4,shawville pills 1892 pink hodgins prices 1891 1893 williams murray wilson shaw hut chin hobbs quyon jas butter hood 44
5,1885 war indians riel april lucy indian nellie kiel troops northwest breeds rebellion middleton russia setts gladstone afghan bat desert
6,1 4 good man time house 8 make 0 44 give call made ing great hand don 7 half st
7,000 2 3 stock year ottawa made 1 work years canada 8 _ 00 goods 0 good great men st
8,tho 0 stair 1884 lady beautiful 1883 perth ethel pembroke lord duchess thc ayer marguerite cottons mitts duke deer february
9,mr tho government ho county man house province pontiac council pro people march sir meeting question public hon bo party
10,1887 du portage toronto aylmer bargains 66 allan simon port de 100 fort customers cents stafford worm railway stomach insurance
11,ami hut lie 1890 shaw shawville hodgins coun mabel arc sec ville turner hudgins jas bargains toronto catarrh cts liver
12,1884 sidney pembroke stage stephen fort ayer cents du portage office binder daunt range coulonge mail shea bryson dolly bo
13,christmas sugar milk cup add pound butter cream flour pour salt boil lemon eggs pint bake boiling dec bread dish
14,ef te 1886 la _ 1er haley yen net el stage thorburn stages ta en almonte mercier hilda rates granite
15,fort portage du bryson pembroke railway line 00 la village ac renfrew dominion ottawa tender june county port vinton thursday
16,1889 isabel martha jesuits oliver estates jesuit marquis holmes wae lib mauborgue hodgins colonel faune emulsion hut bargemont sashes sawing
17,1 mr day young time life man mrs hie men long room left ed large street father mother heart hand
18,dolores inez varian colonel lauraine linden maud madame lawrence cries sir percival duvane 1883 vane aunt jean grey thinks 33
19,1 ii lie ami tin il 11 mi ill li hut 4 ho ml ni tl lu ll 0 ut
